icd_full,hadm_freq
9-V1011,2113
9-4414,2110
9-3899,2104
9-V5863,2098
10-R05,2087
10-C61,2074
9-V1052,2072
10-Z6843,2067
10-Z96641,2062
10-Z981,2058
10-I952,2057
10-K529,2052
9-5589,2048
9-27669,2042
9-30501,2040
10-Z7289,2032
9-7837,2031
9-E8498,2022
9-E9289,2020
9-1120,2019
10-R5081,2018
9-29620,2014
10-Z8551,2006
9-4928,1994
9-33818,1988
9-2752,1986
9-78605,1983
10-K861,1980
10-I081,1978
9-30393,1977
10-E873,1976
9-99681,1965
9-5781,1960
9-53085,1960
10-R6520,1948
10-I878,1939
9-3970,1934
9-28800,1931
10-R7989,1927
9-2763,1919
10-I4510,1917
9-V8541,1916
9-78061,1909
10-Y830,1906
10-K2970,1905
9-31401,1903
10-Z85528,1899
9-79029,1896
10-Z96652,1894
10-R030,1894
9-28419,1887
9-43491,1886
9-431,1886
9-7210,1884
9-185,1882
10-I25119,1875
9-6930,1871
10-Z803,1867
10-B182,1865
9-5920,1863
9-V1051,1861
10-E8351,1859
9-65971,1856
9-66331,1855
9-72400,1852
10-M4802,1849
10-F411,1845
9-65421,1842
9-E8809,1839
10-Z87820,1838
9-64511,1835
9-3383,1830
10-B370,1821
10-R4182,1819
10-Z3A40,1818
9-25061,1818
9-6822,1817
9-5609,1816
9-28522,1807
10-O6981X0,1803
9-72210,1801
10-Z86010,1800
9-1550,1799
9-V422,1796
10-Z6832,1795
10-K5903,1794
9-515,1786
9-56211,1786
10-D500,1785
9-66401,1784
9-5569,1783
9-6961,1775
9-70714,1774
9-71941,1773
9-0413,1766
10-I671,1764
10-J9691,1762
10-I872,1762
9-5768,1760
10-R1013,1759
10-Z944,1755
9-30590,1752
10-M542,1752
10-Z79899,1751
10-R21,1748
9-5680,1748
9-6827,1740
10-I313,1736
10-G8918,1732
10-D6481,1728
9-0088,1727
9-7213,1726
9-04112,1724
9-340,1720
10-G4730,1716
9-57420,1716
10-E8352,1711
10-Z7682,1709
10-J9602,1708
10-R1312,1700
9-99674,1697
10-K5090,1696
9-7821,1688
9-72402,1688
9-E8786,1686
10-I69354,1683
10-Z931,1683
10-N182,1681
9-7100,1680
9-V1204,1678
9-70722,1674
10-M48061,1673
10-Z6835,1667
9-30520,1665
9-29570,1664
10-Z6833,1663
10-Z9119,1663
9-2189,1662
10-C7989,1652
10-F259,1652
9-2869,1648
10-F29,1647
9-7231,1646
10-I5030,1646
9-2536,1645
9-7843,1644
10-Z6831,1643
9-73313,1639
9-V4573,1637
9-725,1634
9-V1301,1632
10-Z6834,1630
9-79311,1630
10-G8194,1627
10-D709,1626
10-A0472,1615
10-L409,1610
10-I81,1610
9-V1271,1606
10-D6832,1605
10-C220,1603
10-I420,1603
9-43411,1599
10-T82868A,1599
10-E874,1598
9-V163,1596
9-36250,1596
10-Z6836,1593
10-K521,1592
10-Z8674,1592
10-Z96642,1591
10-Z3A38,1581
9-V4571,1576
10-Z953,1575
9-44020,1573
10-I080,1571
9-25062,1571
10-F410,1569
9-4659,1569
10-H9190,1568
10-D61810,1566
10-F1011,1562
10-Z6830,1560
9-1976,1559
9-2113,1556
9-30301,1554
9-59970,1548
9-44021,1548
9-5722,1547
9-V4983,1547
9-20300,1547
10-O700,1546
10-Z85850,1546
9-28749,1543
10-R8271,1543
10-C9000,1541
10-Q211,1537
9-V441,1535
10-C7800,1532
9-78057,1528
10-F418,1523
10-Z9861,1522
10-G8191,1521
10-B20,1520
9-53789,1515
10-E041,1512
9-2841,1511
10-G35,1510
9-29590,1504
10-E1022,1504
10-I5021,1503
10-R0602,1501
10-Z6837,1499
10-D473,1498
9-71596,1493
10-D472,1493
9-5939,1492
9-3694,1491
9-49392,1487
10-I248,1487
10-F1020,1484
10-Y836,1482
9-27542,1481
10-G3184,1480
9-V851,1479
10-F10229,1476
10-K922,1475
9-28850,1470
10-K5730,1469
9-V850,1468
9-0417,1467
10-R200,1458
9-19889,1454
10-M4800,1450
10-Z905,1449
9-51919,1445
10-I9589,1444
9-59654,1439
10-N319,1438
10-Z96643,1435
10-Z6838,1429
10-F1110,1427
9-71946,1427
10-I4581,1426
9-E9352,1421
10-E1169,1420
9-30550,1418
9-59971,1418
10-I25118,1417
10-A4151,1413
9-71945,1413
9-4263,1412
10-B965,1412
9-42781,1409
9-V427,1404
10-I4819,1404
9-30503,1400
10-I160,1399
10-E1065,1396
10-T814XXA,1395
9-43820,1394
9-42830,1394
9-30401,1393
10-G935,1393
10-R5383,1388
9-78829,1386
10-F603,1382
9-1629,1382
10-F1190,1377
10-K648,1376
10-J95851,1375
9-6823,1372
9-99749,1370
10-Z7952,1369
9-44023,1367
9-25001,1366
9-45341,1365
10-K660,1362
10-F1410,1360
9-9974,1357
9-27541,1356
10-K5190,1355
9-7851,1353
9-6929,1352
9-570,1351
10-Z6822,1349
10-I4820,1348
9-V4975,1348
9-25051,1346
10-R748,1344
9-78901,1342
10-C7801,1342
9-2440,1342
10-F1490,1339
10-A4189,1338
9-04185,1336
10-E162,1335
10-N200,1335
10-Z6823,1334
10-Z6820,1333
10-J159,1333
9-V442,1332
10-Y92410,1331
9-28981,1328
10-M353,1327
9-34831,1325
9-79431,1323
9-135,1323
9-4275,1323
9-7856,1322
10-J811,1320
10-J069,1318
10-J910,1318
10-Z6821,1308
9-7455,1307
10-O99344,1306
9-30183,1304
9-V463,1301
10-Z933,1294
10-I69398,1292
10-R519,1291
10-I69351,1290
10-I712,1287
9-7905,1287
10-I6523,1285
10-E10319,1284
9-7919,1281
10-Z932,1281
10-D259,1280
10-Z818,1278
10-D72819,1277
10-Z8542,1274
10-Z801,1274
9-78194,1274
9-30001,1273
10-Z87442,1272
9-3559,1265
10-Z6824,1264
10-B181,1264
10-Z6839,1263
9-27650,1263
10-J810,1261
10-R042,1258
10-N2581,1256
9-41189,1256
10-J45901,1255
10-W1839XA,1254
10-J440,1252
10-H548,1251
10-I5020,1251
9-3669,1251
10-I071,1250
10-Y92019,1250
9-2410,1249
10-I441,1241
9-5409,1239
10-E213,1239
10-K9189,1239
10-R2681,1235
9-49322,1235
10-R040,1234
10-N1330,1232
10-Z8572,1231
9-4142,1231
10-L299,1229
10-H3530,1229
10-O99214,1229
10-M5416,1228
9-4370,1227
9-42843,1225
10-F0150,1222
10-A047,1219
10-O34211,1216
9-25541,1214
9-07032,1214
10-B9562,1212
10-C7802,1211
10-K8590,1209
9-E9478,1205
10-E1143,1199
9-V4972,1194
9-V443,1193
10-Z833,1189
9-42831,1188
10-J9600,1187
9-64893,1185
10-E8809,1181
10-E2740,1178
9-25041,1176
9-42821,1174
10-M7989,1170
10-M6282,1166
9-41402,1162
10-I2582,1161
9-V180,1160
9-44024,1158
10-Y846,1158
9-7994,1156
10-J398,1155
9-5852,1155
10-L97519,1150
10-R310,1149
9-78551,1149
10-A084,1146
10-Z91128,1142
10-F17290,1142
9-4550,1141
9-33819,1141
10-C772,1137
9-07999,1137
10-Z9641,1135
10-Z8711,1134
10-O770,1129
9-1962,1128
9-3484,1126
9-58881,1125
9-1623,1122
9-78062,1122
10-M170,1122
9-25063,1121
9-30400,1121
9-23871,1120
10-T368X5A,1119
10-Z90710,1118
10-F339,1118
9-V1749,1117
10-W109XXA,1116
9-40310,1115
9-V1551,1112
9-78451,1111
10-Z95820,1111
10-I5031,1109
10-Z6829,1108
9-920,1108
10-L97529,1103
9-9982,1102
10-J1282,1102
9-1890,1101
9-72981,1101
10-C771,1099
9-4239,1099
10-I481,1097
10-Z45018,1096
10-K920,1096
10-Z3A37,1094
9-V1087,1093
9-3079,1093
9-57410,1091
9-4829,1085
9-56089,1084
10-M1711,1084
9-5772,1083
10-I890,1083
9-E8796,1082
9-95901,1082
10-Z6825,1082
10-Z8505,1081
10-Z9484,1079
10-B1910,1079
10-I639,1078
9-E8792,1077
10-E1152,1075
9-5711,1072
10-R350,1067
9-7243,1067
9-2819,1062
9-8730,1061
9-34290,1060
9-20410,1054
10-K5790,1053
9-1961,1053
9-E9308,1052
9-V1209,1051
10-C250,1050
10-S065X0A,1050
10-Y92129,1050
9-E8495,1049
10-R300,1048
9-7824,1045
10-R002,1045
9-V1042,1045
10-Z170,1043
10-K8020,1043
10-H538,1042
10-L270,1038
9-2853,1037
9-56722,1034
9-V8542,1032
9-71535,1031
10-K8689,1031
10-D84821,1030
9-99672,1030
10-R296,1028
10-F22,1028
10-Z6827,1027
10-B957,1026
10-Z95828,1026
10-Z85048,1023
9-4264,1023
10-M25511,1021
9-23875,1021
9-59080,1020
10-J918,1019
10-Z7401,1018
9-73730,1018
10-I493,1016
10-Z6828,1014
9-7830,1010
9-2883,1009
9-30300,1008
10-N141,1007
10-O480,1007
9-03842,1007
9-E8790,1006
9-72888,1005
10-F1910,1005
9-V1006,1004
10-J1289,1004
10-I083,1003
9-55321,1002
10-E806,1001
9-6202,1000
9-4430,999
10-Y842,998
10-N858,997
9-28803,994
9-25200,994
10-H269,993
10-K651,993
10-J309,992
10-Z6826,992
10-I341,990
9-7847,990
9-3558,989
10-I440,989
10-E854,988
10-C3490,984
10-M329,982
10-M25512,980
9-6989,980
10-O99284,978
10-C9110,976
9-V0382,974
10-S2241XA,973
9-99731,972
10-K7010,971
10-I96,971
10-I351,971
9-2867,970
9-V6441,968
10-D469,964
9-29281,962
9-452,961
9-64421,961
9-V161,960
10-M25551,958
10-E1040,957
10-I7300,953
9-7318,953
9-7810,953
10-N185,952
9-5780,952
10-J849,951
10-O721,951
10-E1043,951
9-4260,948
9-42842,948
9-4373,946
10-O9902,945
9-04119,945
9-8054,944
10-R630,944
9-29040,942
9-3331,941
9-1749,938
9-3441,938
10-R590,938
10-B964,938
9-2764,936
9-51189,935
9-5790,934
9-7906,933
10-K222,929
10-M25561,929
10-T361X5A,929
9-V4577,927
9-20500,924
10-L309,921
9-25042,920
9-7813,918
9-78903,917
10-S065X9A,916
9-V1552,916
10-R1011,915
9-5693,914
10-F332,912
10-N12,911
10-S2242XA,911
9-64841,910
10-J9622,910
9-87342,910
10-T8619,910
9-0416,910
10-K649,908
10-G894,907
9-7197,907
10-M1712,907
9-6262,906
9-51181,906
9-53390,904
9-7885,903
9-5921,902
10-T508X5A,902
9-V140,900
10-K7040,897
10-G620,897
10-B954,897
9-43330,894
10-K8309,892
10-Z808,892
9-53010,889
9-7921,889
10-C3411,887
10-D6489,887
10-E878,887
9-0549,885
9-43811,883
10-R159,881
9-25082,880
9-72887,880
9-9975,876
9-3314,875
9-99673,874
10-D573,873
10-T8131XA,873
9-34839,872
9-V4282,872
9-V5864,872
10-N136,872
9-85221,871
9-5778,871
9-8052,870
10-M25562,868
10-I9789,867
9-70719,866
10-E282,864
10-D801,864
9-1570,863
10-K209,863
9-57400,861
10-K259,860
9-4940,860
9-5121,859
10-K625,858
10-L89152,858
10-I161,857
10-K635,855
9-4779,854
10-M4806,853
10-G250,851
10-E10649,848
9-29650,846
10-S0101XA,845
9-57451,842
10-Z1624,842
10-C8339,842
10-R778,840
10-L7632,840
9-4404,839
10-Z98890,838
10-R402362,836
10-F429,836
9-99664,836
10-M25552,835
10-J9611,835
10-J9809,834
9-27401,834
10-K900,833
9-V440,832
10-G9349,832
10-Q231,830
10-E042,829
9-53019,827
9-78841,827
10-K830,825
9-64811,824
10-T501X5A,822
10-R180,822
9-79001,822
10-R579,821
9-5738,818
9-5184,816
10-D701,815
10-Z4502,814
9-V641,813
9-319,812
9-2411,812
10-R571,812
10-G9389,811
10-Z9079,810
10-D693,809
10-F1210,809
10-J479,808
10-M419,808
10-I5043,807
10-R202,807
9-E8120,807
9-2920,806
9-65811,806
10-H532,804
9-73679,804
10-N138,804
9-72252,804
9-V1541,803
10-C9200,803
10-I4821,803
9-4739,801
10-C259,799
10-R34,799
10-K429,799
10-N132,799
9-V620,798
9-25013,797
10-Z936,797
9-07030,796
10-E0500,796
10-E781,796
10-O134,795
10-R251,793
10-K3580,793
10-I330,790
10-R161,789
10-O411230,789
10-M48062,785
10-T82855A,784
9-2731,783
10-Z888,782
9-70705,781
10-E662,781
9-V8543,780
10-Z823,780
9-5303,779
9-78703,779
9-2825,778
10-Z89421,776
10-K652,775
10-Z89511,775
9-1991,774
10-N3281,771
9-2721,771
9-V1079,770
9-29633,770
10-J80,769
10-K5720,768
10-T8612,767
10-Y92002,766
10-Z930,765
9-60784,764
9-99931,764
10-G8220,762
10-R45850,762
9-1628,761
10-J302,761
9-41072,760
10-R5381,760
10-N281,757
9-261,757
9-514,756
10-O9952,754
9-78093,754
10-R1110,752
9-4359,751
10-E1010,750
10-R2689,748
9-56081,747
10-S0181XA,747
10-E869,747
9-73027,746
10-E8779,745
10-K767,745
10-C541,745
10-Z8719,744
10-L03113,744
10-J4520,743
10-O9989,739
9-430,737
9-42820,737
9-25053,736
10-Z9081,734
9-5531,734
9-25052,733
10-Z8543,732
10-D6851,732
9-5855,732
9-99832,732
10-T83511A,731
9-78904,731
9-53560,730
10-M5116,730
10-Z8589,728
10-K7011,727
10-R402142,727
10-W06XXXA,726
9-99659,724
9-4321,723
10-N3289,723
10-M7981,722
10-D320,722
10-L4050,721
9-E8791,721
9-4588,720
9-28731,720
9-99662,717
10-T80211A,716
9-V1007,716
9-33182,716
9-5185,714
10-Z8701,714
9-53190,713
9-70707,711
10-Y92018,710
10-K838,706
9-82021,706
10-I871,705
10-I469,704
10-J984,704
9-9100,704
9-2252,702
10-N529,702
9-3384,698
9-2630,697
9-4412,696
9-24290,695
9-29630,695
9-E9444,694
10-K5732,693
10-M1A9XX0,693
9-5570,693
9-V1009,692
9-25070,690
9-6824,690
9-59010,689
10-G928,688
10-M5430,687
10-C3412,686
10-E7849,686
10-Z8042,685
9-3003,685
10-Z89422,683
10-R400,682
10-C679,682
10-I6522,681
9-99682,681
10-I69320,680
10-Z3A41,680
10-C8338,680
10-E0590,679
10-I6521,678
9-24900,678
10-T426X5A,678
9-4571,677
10-N2889,676
10-L03114,675
10-B349,673
9-57450,673
9-V453,673
9-78652,673
10-M1611,672
10-D72828,670
10-Z89512,670
9-V4585,669
9-45342,668
10-C221,668
9-4210,667
9-8020,667
10-S066X9A,664
9-25043,664
9-7135,663
9-4556,663
9-3688,662
10-J329,661
10-J029,660
10-Z9111,660
9-7881,659
9-24200,658
10-I82412,658
10-M869,658
10-R414,658
10-Z8541,657
10-G4089,656
10-M5412,656
10-R4781,656
9-3962,656
10-R1031,654
10-D721,654
9-04186,654
10-K5731,654
9-8082,653
9-7211,652
10-G459,652
10-N289,651
10-I808,650
9-78559,650
10-Z980,650
10-I513,649
10-T447X5A,649
10-M479,649
10-K644,649
10-Y834,647
10-I672,646
10-I680,646
10-F250,645
9-462,645
9-64821,644
10-C7889,643
9-64881,643
10-K7689,641
9-V1043,641
10-A4101,641
10-T827XXA,641
10-D563,639
10-Z9151,638
10-O7589,637
10-F0281,635
9-0380,635
9-E915,635
9-71595,634
10-C20,634
10-I618,633
10-I4901,632
9-E8844,632
9-V452,632
9-V1253,632
9-65951,632
10-M3500,632
10-F1123,631
10-J8410,630
10-G40409,630
10-I2722,630
10-S0990XA,629
9-V1261,629
10-K254,628
9-03849,627
9-4401,626
10-H8110,624
10-I6529,624
9-30521,619
10-O9962,619
10-Z982,617
9-7102,615
9-36960,615
9-1987,615
10-J95811,615
9-34510,614
10-Z954,614
10-N10,614
10-L97429,613
9-7230,612
9-5368,612
10-I452,611
10-Z9282,611
9-51884,611
10-Z5329,610
10-W1789XA,610
9-04109,609
10-D688,609
9-E8783,609
9-5724,608
9-31400,606
10-K761,606
10-R440,606
9-2766,606
10-Y840,605
10-R441,604
9-1830,603
10-E063,603
9-4871,602
9-2949,602
10-M79605,602
10-K2980,601
9-38611,601
10-B009,600
10-K432,600
10-L89150,599
10-S022XXA,599
9-73007,599
9-2738,598
10-T865,598
10-D6861,597
9-44422,597
10-M1612,597
10-K754,597
9-4660,596
10-R609,596
9-34889,595
10-Y92008,594
10-R269,594
10-Y833,593
9-V1201,593
9-2874,593
10-T40605A,591
9-04102,591
9-51851,590
10-W108XXA,590
10-K91840,588
9-7244,588
10-T424X5A,587
9-3963,587
9-4400,587
9-V854,587
9-78459,584
10-S066X0A,584
9-56981,584
10-K8681,583
10-Z91138,582
10-J948,581
10-K317,581
9-E9479,580
9-64231,580
9-E9290,579
9-V1041,578
10-R61,578
10-K279,578
10-M47812,578
9-27739,578
9-2564,577
9-72190,577
10-M79604,575
10-K632,574
10-I700,574
10-D735,573
10-R402252,573
10-K269,572
10-R1032,572
10-C50912,572
10-Y92003,571
10-E11610,571
9-70724,571
9-5728,569
9-1625,569
10-Z902,569
9-2512,569
10-K810,568
10-D869,568
9-1963,568
9-79319,567
9-56212,567
9-6960,567
10-T3695XA,567
10-K769,566
10-R195,565
9-34540,564
10-M5450,564
10-I611,563
9-193,563
9-42611,563
9-3371,563
9-70723,562
10-I498,561
10-T502X5A,561
10-K750,560
9-45182,560
10-I82411,560
9-68110,560
10-I63412,559
9-29640,559
10-I5181,559
10-I97190,559
10-Z8614,559
10-I319,558
10-A4159,558
10-K5289,558
10-R5082,558
10-K862,557
10-G931,557
9-07044,557
9-56723,557
10-K56609,557
9-25081,556
9-66111,555
9-4561,555
9-3682,555
10-L97419,554
9-53540,554
10-R270,553
9-1579,553
10-F200,552
9-29689,552
10-K439,552
9-E9503,552
10-T82898A,551
9-8024,551
9-V0254,551
10-L89154,551
9-78907,551
10-R3129,549
10-N3090,549
10-I5042,549
9-9961,548
10-Z5331,548
10-E782,548
9-44381,547
10-K661,547
9-V0980,547
10-Z1621,546
10-D519,545
10-K8510,544
9-1978,544
9-V8535,543
10-K224,543
10-R413,541
10-I615,541
9-V1279,541
10-Z5309,539
10-I6340,539
10-A4181,539
9-70712,538
10-S270XXA,538
10-K264,537
9-7806,537
9-V170,537
9-70713,537
9-34550,535
10-F4321,535
9-80701,535
10-O1092,535
9-66612,534
10-T82858A,533
9-V252,533
9-5305,533
10-H9193,531
9-E9363,531
10-F1510,531
9-3481,531
9-70721,530
9-2971,530
10-R0781,529
9-V113,529
10-F4320,529
9-70720,528
9-42741,528
9-29530,528
9-V171,527
9-2866,527
9-28411,527
10-F602,526
9-5839,526
10-K029,525
10-D6859,525
